level_0,0.02 to 0.15,0.19 to 0.29,0.44 to 0.44
a_loa,,0.24385148046310154,
a_suum,,0.1925799183750835,
b_malayi,,0.23900111462138707,
c_bovis,0.1269730562192146,,
c_brenneri,,0.27639410075781945,
c_briggsae,,0.28078937591550557,
c_elegans,,0.24558556818172964,
c_inopinata,,0.22002360094876985,
c_japonica,,0.2897875954520322,
c_latens,,,0.4430265826201777
c_nigoni,,0.284551759975094,
c_parvicauda,0.15232647454366213,,
c_quiockensis,0.1301660630641059,,
c_zanzibari,,0.25206660336418457,
d_coronatus,0.023970002887824693,,
d_pachys,0.047187447449649964,,
o_tipulae,0.12047574490494695,,
o_volvulus,,0.23410495119969527,
p_arcanus,,0.26273751455268357,
p_entomophagus,,0.2683993096387302,
p_japonicus,,0.27381498273261706,
p_mayer,,0.26763266189690404,
p_redivivus,,0.2223495703014461,
p_univalens,0.08392085781283326,,
s_digitata,,0.25241695899324973,
s_feltiae,0.13362741326346803,,
s_scapterisci,0.15146015901100893,,
